architecture,experiment_mode,sweep_id,completed_counts,total_counts
linear,multi_task/advanced,maxim-kirby-university-of-toronto/astra/iq05pjpv,0,30
cpi_pred_conv,multi_task/advanced,maxim-kirby-university-of-toronto/astra/qeeibp8b,0,30
cpi_pred_self_attn,multi_task/advanced,maxim-kirby-university-of-toronto/astra/20v265c9,0,30
cpi_pred_cross_attn,multi_task/advanced,maxim-kirby-university-of-toronto/astra/n6a181y6,0,30
linear,multi_task/basic,maxim-kirby-university-of-toronto/astra/wk9cygjr,0,30
cpi_pred_conv,multi_task/basic,maxim-kirby-university-of-toronto/astra/dp7nfmlp,0,30
cpi_pred_self_attn,multi_task/basic,maxim-kirby-university-of-toronto/astra/1dp9x1tu,0,30
cpi_pred_cross_attn,multi_task/basic,maxim-kirby-university-of-toronto/astra/pkrignfq,0,30
linear,multi_task/direct,maxim-kirby-university-of-toronto/astra/jdo2sgur,0,30
cpi_pred_conv,multi_task/direct,maxim-kirby-university-of-toronto/astra/72cwik2g,0,30
cpi_pred_self_attn,multi_task/direct,maxim-kirby-university-of-toronto/astra/6py6syw3,0,30
cpi_pred_cross_attn,multi_task/direct,maxim-kirby-university-of-toronto/astra/dne9qt2t,0,30
linear,single_task/kcat_only,maxim-kirby-university-of-toronto/astra/qsjd0p6y,0,30
cpi_pred_conv,single_task/kcat_only,maxim-kirby-university-of-toronto/astra/mfjdwblu,0,30
cpi_pred_self_attn,single_task/kcat_only,maxim-kirby-university-of-toronto/astra/nl54xqjl,0,30
cpi_pred_cross_attn,single_task/kcat_only,maxim-kirby-university-of-toronto/astra/23z8me4m,0,30
linear,single_task/ki_only,maxim-kirby-university-of-toronto/astra/zn88sk3f,0,30
cpi_pred_conv,single_task/ki_only,maxim-kirby-university-of-toronto/astra/7q096dnb,0,30
cpi_pred_self_attn,single_task/ki_only,maxim-kirby-university-of-toronto/astra/knubulnv,0,30
cpi_pred_cross_attn,single_task/ki_only,maxim-kirby-university-of-toronto/astra/nmpeic69,0,30
linear,single_task/km_only,maxim-kirby-university-of-toronto/astra/irm6h42e,0,30
cpi_pred_conv,single_task/km_only,maxim-kirby-university-of-toronto/astra/bu84wjre,0,30
cpi_pred_self_attn,single_task/km_only,maxim-kirby-university-of-toronto/astra/372usr1y,0,30
cpi_pred_cross_attn,single_task/km_only,maxim-kirby-university-of-toronto/astra/ix9frn7w,0,30
